Disease,Diet
Fungal infection,"['Garlic (2-3 cloves daily)', 'Coconut oil (1-2 tbsp daily)', 'Greek yogurt (1 cup)', 'Turmeric (1 tsp with warm water)', 'Ginger (fresh, 1-inch piece)']"
Allergy,"['Salmon (rich in omega-3, 3oz serving)', 'Walnuts (1/4 cup daily)', 'Oranges (vitamin C rich)', 'Green tea (2-3 cups)', 'Local honey (1 tbsp daily)']"
GERD,"['Oatmeal (plain, 1 cup)', 'Ginger tea (2-3 cups daily)', 'Bananas (ripe)', 'Melons (1 cup)', 'Plain yogurt (1 cup)']"
Chronic cholestasis,"['Brown rice (1/2 cup cooked)', 'Steamed lentils (1/2 cup)', 'Steamed broccoli (1 cup)', 'Lean chicken (3oz)', 'Green tea (2-3 cups)']"
Drug Reaction,"['Blueberries (1 cup daily, rich in antioxidants)', 'Spinach (2 cups raw, anti-inflammatory)', 'Almonds (1/4 cup, supports immune system)']"
Peptic ulcer disease,"['Cabbage juice (1/2 cup daily, contains glutamine)', 'Carrots (1 cup, soothes stomach lining)', 'Yogurt (1 cup, contains probiotics)', 'Honey (1 tbsp, antibacterial properties)', 'Oatmeal (1 cup, fiber-rich)']"
AIDS,"['Chicken breast (4oz, high protein)', 'Quinoa (1/2 cup, complete protein)', 'Avocado (1/2 fruit, healthy fats)', 'Spinach (2 cups, iron-rich)', 'Greek yogurt (1 cup, probiotics)']"
Diabetes,"['Steel-cut oats (1/2 cup)', 'Quinoa (1/2 cup)', 'Leafy greens (2 cups)', 'Greek yogurt (1 cup)', 'Berries (1/2 cup)']"
Gastroenteritis,"['Bananas (1 ripe, easy to digest)', 'White rice (1/2 cup cooked, binding food)', 'Applesauce (unsweetened, 1/2 cup)', 'Toast (1-2 slices)', 'Bone broth (1-2 cups, provides electrolytes)']"
Bronchial Asthma,"['Flaxseeds (1 tbsp ground, omega-3 rich)', 'Fatty fish (3oz salmon/mackerel, twice weekly)', 'Spinach (2 cups raw, magnesium-rich)', 'Sweet potatoes (1 medium, vitamin A rich)', 'Ginger (1-inch piece fresh, reduces airway inflammation)']"
