,Unnamed: 0,disease,workout
0,0,Fungal infection,Consume 2-3 cloves of fresh garlic daily
1,1,Fungal infection,Include 1 cup of plain Greek yogurt with live cultures
2,2,Fungal infection,Add 1-2 tablespoons of coconut oil to your diet
3,3,Fungal infection,Add 1 teaspoon of turmeric to warm water daily
4,4,Fungal infection,Consume 1-inch piece of fresh ginger daily
5,5,Fungal infection,Drink 8-10 glasses (2-2.5 liters) of water daily
6,6,Fungal infection,Drink 2-3 cups of green tea daily
7,7,Fungal infection,Eat 3 oz of oysters or 1/4 cup pumpkin seeds for zinc
8,8,Fungal infection,Add 1 teaspoon of turmeric to soups or smoothies
9,9,Fungal infection,Eat 2 cups of colorful vegetables and 1-2 fruits daily
10,10,Allergy,Avoid specific trigger foods (eggs, nuts, shellfish, dairy)
11,11,Allergy,Eat 3 oz of salmon twice weekly for omega-3 fatty acids
12,12,Allergy,Include 1/4 cup of walnuts daily for omega-3 fatty acids
13,13,Allergy,Drink 8-10 glasses (2-2.5 liters) of water daily
14,14,Allergy,Eat 1 orange, 1-2 kiwi, or 1 cup strawberries daily for vitamin C
15,15,Allergy,Include 1/2 cup of onions daily for quercetin
16,16,Allergy,Consume 1 tablespoon of local honey daily
17,17,Allergy,Limit packaged snacks, frozen meals, and fast food
18,18,Allergy,Add 1-inch piece of fresh ginger to tea or meals daily
19,19,Allergy,Drink 2-3 cups of green tea daily for EGCG
20,20,GERD,Eat 5-6 smaller meals (about 1 cup each) throughout the day
21,21,GERD,Avoid hot peppers, fried foods, and high-fat meats
22,22,GERD,Eat 1 cup of plain oatmeal daily for fiber
23,23,GERD,Limit coffee to 1 cup daily and alcohol to 1 drink or less
24,24,GERD,Take 20-30 minutes to eat meals, chewing thoroughly
25,25,GERD,Don't eat within 3 hours of bedtime
26,26,GERD,Eat 1-2 ripe bananas or 1 cup of melon daily
27,27,GERD,Include 3-4 oz of skinless chicken, turkey, or fish
28,28,GERD,Drink 8-10 glasses (2-2.5 liters) of water daily
29,29,GERD,Drink 1 cup of almond milk as an alkaline beverage
30,30,Chronic cholestasis,Consume no more than 40-50g of fat daily
31,31,Chronic cholestasis,Eat 1/2 cup of cooked brown rice daily
32,32,Chronic cholestasis,Include 1/4 avocado daily for healthy fats
33,33,Chronic cholestasis,Avoid alcohol completely
34,34,Chronic cholestasis,Drink 8-10 glasses (2-2.5 liters) of water daily
35,35,Chronic cholestasis,Eat 1/2 cup of steamed broccoli daily
36,36,Chronic cholestasis,Include 3 oz of salmon twice weekly for omega-3
37,37,Chronic cholestasis,Eat 1/2 cup of cooked beets for liver support
38,38,Chronic cholestasis,Limit packaged snacks, frozen meals, and fast food
39,39,Chronic cholestasis,Avoid deep-fried foods, fatty cuts of meat, and full-fat dairy
40,40,Drug Reaction,Discontinue offending medication (with doctor's guidance)
41,41,Drug Reaction,Drink 8-10 glasses (2-2.5 liters) of water daily
42,42,Drug Reaction,Eat 3 oz of salmon twice weekly for omega-3
43,43,Drug Reaction,Consume 1/2 cup blueberries daily for antioxidants
44,44,Drug Reaction,Avoid foods you're sensitive to (dairy, gluten, nuts)
45,45,Drug Reaction,Include 1/4 cup walnuts or 1 tablespoon flaxseeds daily
46,46,Drug Reaction,Limit coffee to 1 cup daily and alcohol to 1 drink or less
47,47,Drug Reaction,Drink 8-10 glasses (2-2.5 liters) of water daily
48,48,Drug Reaction,Eat 2 cups of colorful vegetables and 1-2 fruits daily
49,49,Drug Reaction,Follow your doctor's specific dietary recommendations
50,50,Peptic ulcer disease,Eat 5-6 smaller meals (about 1 cup each) throughout the day
51,51,Peptic ulcer disease,Avoid hot peppers, tomato products, and citrus fruits
52,52,Peptic ulcer disease,Eat 1 cup of plain oatmeal daily for fiber
53,53,Peptic ulcer disease,Limit coffee to 1 cup daily and avoid alcohol completely
54,54,Peptic ulcer disease,Drink 8-10 glasses (2-2.5 liters) of water daily
55,55,Peptic ulcer disease,Include 1 cup of plain yogurt with live cultures daily
56,56,Peptic ulcer disease,Eat 3-4 oz of skinless chicken, turkey, or fish
57,57,Peptic ulcer disease,Drink 2-3 cups of ginger tea daily
58,58,Peptic ulcer disease,Limit packaged snacks, frozen meals, and fast food
59,59,Peptic ulcer disease,Avoid smoking and alcohol completely
60,60,AIDS,Consume 2000-2500 calories daily with guidance from a dietitian
61,61,AIDS,Include 3-4 oz of skinless chicken, turkey, fish, or plant proteins
62,62,AIDS,Eat 2 cups of colorful vegetables and 1-2 fruits daily
63,63,AIDS,Drink 8-10 glasses (2-2.5 liters) of water daily
64,64,AIDS,Include 1/4 avocado or 1/4 cup nuts daily for healthy fats
65,65,AIDS,Cook all animal products thoroughly and wash produce well
66,66,AIDS,Limit candy, soda, and desserts to occasional treats
67,67,AIDS,Eat 1 orange, 1-2 kiwi, or 1 cup strawberries daily for vitamin C
68,68,AIDS,Take nutritional supplements as prescribed by your doctor
69,69,AIDS,Follow your healthcare team's specific dietary recommendations
70,70,Diabetes,Count carbohydrates (typically 45-60g per meal) with guidance
71,71,Diabetes,Eat 1/2 cup dry steel-cut oats daily for low glycemic carbs
72,72,Diabetes,Include 3-4 oz of skinless chicken, turkey, fish, or plant proteins
73,73,Diabetes,Eat 2 cups of raw spinach or kale daily for magnesium
74,74,Diabetes,Drink 8-10 glasses (2-2.5 liters) of water daily
75,75,Diabetes,Eat 1/2 cup of berries daily for low glycemic fruit
76,76,Diabetes,Include 2 tablespoons of chia seeds daily for fiber
77,77,Diabetes,Add 1/2 teaspoon of cinnamon to food daily
78,78,Diabetes,Work with a registered dietitian for personalized meal planning
79,79,Diabetes,Take medications as prescribed and at recommended times
80,80,Gastroenteritis,Drink 8-10 glasses (2-2.5 liters) of water daily
81,81,Gastroenteritis,Sip clear broths, weak tea, or water with electrolytes
82,82,Gastroenteritis,Eat 1 ripe banana, 1/2 cup white rice, or 1/2 cup applesauce
83,83,Gastroenteritis,Include plain crackers, boiled potatoes, or plain noodles
84,84,Gastroenteritis,Avoid fried chicken, french fries, and fatty meats
85,85,Gastroenteritis,Limit coffee to 1 cup daily and avoid alcohol completely
86,86,Gastroenteritis,Avoid hot peppers, curry, and heavily seasoned foods
87,87,Gastroenteritis,Drink 1 cup of coconut water for natural electrolytes
88,88,Gastroenteritis,Start with small portions and increase as tolerated
89,89,Gastroenteritis,Avoid milk, cheese, and ice cream until recovery
90,90,Bronchial Asthma,Include 1 tablespoon ground flaxseeds daily for omega-3
91,91,Bronchial Asthma,Eat 3 oz of salmon or mackerel twice weekly
92,92,Bronchial Asthma,Reduce salt to less than 2,300mg daily (about 1 teaspoon)
93,93,Bronchial Asthma,Drink 8-10 glasses (2-2.5 liters) of water daily
94,94,Bronchial Asthma,Eat 1 medium sweet potato daily for vitamin A
95,95,Bronchial Asthma,Avoid dried fruits with sulfites, wine, and processed potatoes
96,96,Bronchial Asthma,Limit packaged snacks, frozen meals, and fast food
97,97,Bronchial Asthma,Include 1/4 cup pumpkin seeds daily for magnesium
98,98,Bronchial Asthma,Add 1-inch piece of fresh ginger to meals daily
99,99,Bronchial Asthma,Add 1 teaspoon turmeric with a pinch of black pepper daily
100,100,Hypertension,Follow DASH diet: 4-5 servings each of fruits and vegetables daily
